Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac
Alyeska Resort,Alaska,Alaska,3939,2500,250,1,0,0,2,2,0,0,2,7,76,2,1.0,1610.0,113.0,150,60,669.0,65.0,85.0,150,550.0
Eaglecrest Ski Area,Alaska,Alaska,2600,1540,1200,0,0,0,0,0,0,4,0,4,36,1,2.0,640.0,60.0,45,44,350.0,47.0,53.0,90,0.0
Hilltop Ski Area,Alaska,Alaska,2090,294,1796,0,0,0,0,0,1,0,2,3,13,1,1.0,30.0,30.0,150,36,69.0,30.0,34.0,152,30.0
Arizona Snowbowl,Arizona,Arizona,11500,2300,9200,0,0,1,0,2,2,1,2,8,55,4,2.0,777.0,104.0,122,81,260.0,89.0,89.0,122,0.0
Sunrise Park Resort,Arizona,Arizona,11100,1800,9200,0,0,0,1,2,3,1,0,7,65,2,1.2,800.0,80.0,115,49,250.0,74.0,78.0,104,80.0
Yosemite Ski & Snowboard Area,Northern California,California,7800,600,7200,0,0,0,0,0,1,3,1,5,10,2,0.4,88.0,0.0,110,84,300.0,47.0,47.0,107,0.0
Bear Mountain,Sierra Nevada,California,8805,1665,7140,0,0,0,2,1,2,3,4,12,27,14,1.5,198.0,198.0,122,76,100.0,57.91695652173913,64.1668100358423,130,0.0
Bear Valley,Sierra Nevada,California,8500,1900,6600,0,0,1,1,0,2,4,2,10,67,2,1.2,1680.0,100.0,165,52,359.0,57.91695652173913,64.1668100358423,151,0.0
Boreal Mountain Resort,Sierra Nevada,California,7700,500,7200,0,0,0,1,1,3,1,2,8,33,6,1.0,380.0,200.0,150,54,400.0,49.0,64.1668100358423,150,200.0
Dodge Ridge,Sierra Nevada,California,8200,1600,6600,0,0,0,0,1,2,5,4,12,67,5,2.0,862.0,0.0,115,69,350.0,78.0,78.0,140,0.0
Donner Ski Ranch,Sierra Nevada,California,8012,750,7031,0,0,0,0,0,1,5,2,8,52,2,1.5,505.0,60.0,163,82,400.0,75.0,75.0,170,0.0
Heavenly Mountain Resort,Sierra Nevada,California,10067,3500,7170,2,0,2,7,1,5,3,8,28,97,3,5.5,4800.0,3379.0,155,64,360.0,57.91695652173913,64.1668100358423,157,0.0
June Mountain,Sierra Nevada,California,10090,2590,7545,0,0,0,2,0,0,4,1,7,41,2,2.0,1500.0,0.0,115,58,250.0,57.91695652173913,64.1668100358423,128,0.0
Kirkwood,Sierra Nevada,California,9800,2000,7800,0,0,0,2,1,5,1,3,12,85,2,2.5,2300.0,200.0,200,47,354.0,57.91695652173913,64.1668100358423,167,0.0
Mammoth Mountain Ski Area,Sierra Nevada,California,11053,3100,7953,3,0,2,9,1,6,4,0,25,154,7,3.0,3500.0,700.0,243,66,400.0,149.0,159.0,120,0.0
Mt. Shasta Ski Park,Sierra Nevada,California,6890,1435,5500,0,0,0,0,0,3,0,1,4,32,2,1.1,425.0,225.0,140,34,300.0,49.0,59.0,130,0.0
Mountain High,Sierra Nevada,California,8200,1600,6600,0,0,0,2,2,2,5,3,14,59,1,1.6,290.0,275.0,118,95,108.0,84.0,84.0,150,73.0
Mt. Baldy,Sierra Nevada,California,8600,2100,6500,0,0,0,0,0,0,4,0,4,26,0,2.5,400.0,80.0,175,67,178.0,69.0,69.0,200,0.0
Northstar California,Sierra Nevada,California,8610,2280,6330,2,0,1,7,1,2,0,7,20,100,9,1.4,3170.0,1500.0,135,47,350.0,57.91695652173913,64.1668100358423,150,0.0
Sierra-at-Tahoe,Sierra Nevada,California,8852,2212,6640,0,0,0,3,0,1,5,5,14,46,6,2.5,2000.0,200.0,160,73,460.0,99.0,64.1668100358423,144,0.0
Ski China Peak,Sierra Nevada,California,8709,1679,7030,0,0,0,0,1,4,2,4,11,45,1,2.2,1400.0,150.0,140,62,300.0,83.0,83.0,144,0.0
Snow Summit,Sierra Nevada,California,8200,1200,7000,0,0,0,2,0,4,5,5,16,27,6,1.2,240.0,240.0,115,67,100.0,57.91695652173913,64.1668100358423,130,150.0
Snow Valley,Sierra Nevada,California,7841,1041,6800,0,0,0,0,0,5,6,1,12,28,6,1.2,240.0,188.0,111,82,160.0,69.0,79.0,143,164.0
Soda Springs,Sierra Nevada,California,7352,652,6700,0,0,0,0,0,1,1,2,4,18,0,0.4,200.0,20.0,150,83,400.0,50.0,50.0,144,0.0
Sugar Bowl Resort,Sierra Nevada,California,8383,1500,6883,1,0,0,5,3,1,0,2,12,105,3,3.0,1650.0,375.0,151,80,500.0,125.0,125.0,150,0.0
Tahoe Donner,Sierra Nevada,California,7350,600,6750,0,0,0,0,1,1,0,3,5,14,2,1.0,120.0,0.0,150,48,400.0,69.0,69.0,144,0.0
Arapahoe Basin Ski Area,Colorado,Colorado,13050,2530,10780,0,0,0,1,2,1,2,3,9,145,3,1.5,1428.0,125.0,230,73,350.0,85.0,85.0,233,0.0
Aspen / Snowmass,Colorado,Colorado,12510,4406,8104,3,0,1,15,4,3,5,9,40,336,10,5.3,5517.0,658.0,138,72,300.0,179.0,179.0,138,0.0
Beaver Creek,Colorado,Colorado,11440,3340,8100,2,0,0,11,0,1,1,9,24,150,3,2.8,1832.0,650.0,145,39,323.0,57.91695652173913,64.1668100358423,138,0.0
Breckenridge,Colorado,Colorado,12998,3398,9600,1,0,5,6,0,1,6,15,34,187,4,3.5,2908.0,600.0,182,58,300.0,57.91695652173913,64.1668100358423,163,0.0
Copper Mountain Resort,Colorado,Colorado,12313,2738,9712,1,0,2,4,0,4,4,9,24,150,6,1.7,2527.0,364.0,164,47,300.0,158.0,158.0,164,0.0
Crested Butte Mountain Resort,Colorado,Colorado,12162,3062,9375,0,0,0,4,2,2,1,5,14,121,4,2.6,1547.0,297.0,145,58,234.0,57.91695652173913,64.1668100358423,131,0.0
Purgatory,Colorado,Colorado,10822,2029,8793,0,0,1,2,0,3,3,3,12,101,9,1.3,1605.0,250.0,130,54,260.0,89.0,89.0,130,0.0
Eldora Mountain Resort,Colorado,Colorado,10600,1400,9200,0,0,1,0,2,1,3,3,10,65,8,3.0,680.0,680.0,147,57,311.0,57.91695652173913,64.1668100358423,150,0.0
Howelsen Hill,Colorado,Colorado,7136,440,6696,0,0,0,0,0,0,1,3,4,17,1,6.0,50.0,25.0,100,104,150.0,25.0,25.0,100,10.0
Keystone,Colorado,Colorado,12408,3128,9280,2,0,2,4,1,1,2,8,20,128,1,3.5,3148.0,662.0,184,49,235.0,57.91695652173913,64.1668100358423,120,288.0
Loveland,Colorado,Colorado,13010,2210,10800,0,0,0,1,3,3,2,1,10,94,1,2.0,1800.0,240.0,205,82,422.0,79.0,79.0,184,0.0
Monarch Mountain,Colorado,Colorado,11952,1162,10790,0,0,0,0,1,0,4,2,7,64,2,1.0,800.0,0.0,143,80,350.0,89.0,89.0,136,0.0
Powderhorn,Colorado,Colorado,9850,1650,8200,0,0,0,1,0,0,2,2,5,42,2,1.5,1600.0,42.0,111,53,250.0,71.0,71.0,110,0.0
